scenario_id,rho,qH,tau,BH_limit,BL_limit,certifiable_policies
BG05,0.7,0.8,0.5,0.02,0.075,0
BG05,0.7,0.8,0.5,0.02,0.1,0
BG05,0.7,0.8,0.5,0.02,0.125,0
BG05,0.7,0.8,0.5,0.02,0.15,0
BG05,0.7,0.8,0.5,0.02,0.2,0
BG05,0.7,0.8,0.5,0.02,0.25,0
BG05,0.7,0.8,0.5,0.02,0.3,0
BG05,0.7,0.8,0.5,0.02,0.35,0
BG05,0.7,0.8,0.5,0.03,0.05,0
BG05,0.7,0.8,0.5,0.03,0.075,0
BG05,0.7,0.8,0.5,0.03,0.1,0
BG05,0.7,0.8,0.5,0.03,0.125,0
BG05,0.7,0.8,0.5,0.03,0.15,0
BG05,0.7,0.8,0.5,0.03,0.2,0
BG05,0.7,0.8,0.5,0.03,0.25,0
BG05,0.7,0.8,0.5,0.03,0.3,0
BG05,0.7,0.8,0.5,0.03,0.35,0
BG05,0.7,0.8,0.5,0.05,0.05,0
BG05,0.7,0.8,0.5,0.05,0.075,0
BG05,0.7,0.8,0.5,0.05,0.1,0
BG05,0.7,0.8,0.5,0.05,0.125,0
BG05,0.7,0.8,0.5,0.05,0.15,0
BG05,0.7,0.8,0.5,0.05,0.2,0
BG05,0.7,0.8,0.5,0.05,0.25,0
BG05,0.7,0.8,0.5,0.05,0.3,0
BG05,0.7,0.8,0.5,0.05,0.35,0
BG05,0.7,0.8,0.5,0.075,0.05,0
BG05,0.7,0.8,0.5,0.075,0.075,0
BG05,0.7,0.8,0.5,0.075,0.1,0
BG05,0.7,0.8,0.5,0.075,0.125,0
BG05,0.7,0.8,0.5,0.075,0.15,0
BG05,0.7,0.8,0.5,0.075,0.2,0
BG05,0.7,0.8,0.5,0.075,0.25,0
BG05,0.7,0.8,0.5,0.075,0.3,0
BG05,0.7,0.8,0.5,0.075,0.35,0
BG05,0.7,0.8,0.5,0.1,0.05,0
BG05,0.7,0.8,0.5,0.1,0.075,0
BG05,0.7,0.8,0.5,0.1,0.1,0
BG05,0.7,0.8,0.5,0.1,0.125,0
BG05,0.7,0.8,0.5,0.1,0.15,0
BG05,0.7,0.8,0.5,0.1,0.2,0
BG05,0.7,0.8,0.5,0.1,0.25,0
BG05,0.7,0.8,0.5,0.1,0.3,0
BG05,0.7,0.8,0.5,0.1,0.35,0
BG05,0.7,0.8,0.5,0.125,0.05,0
BG05,0.7,0.8,0.5,0.125,0.075,0
BG05,0.7,0.8,0.5,0.125,0.1,0
BG05,0.7,0.8,0.5,0.125,0.125,0
BG05,0.7,0.8,0.5,0.125,0.15,0
BG05,0.7,0.8,0.5,0.125,0.2,0
BG05,0.7,0.8,0.5,0.125,0.25,0
BG05,0.7,0.8,0.5,0.125,0.3,0
BG05,0.7,0.8,0.5,0.125,0.35,0
BG05,0.7,0.8,0.5,0.15,0.05,0
BG05,0.7,0.8,0.5,0.15,0.075,0
BG05,0.7,0.8,0.5,0.15,0.1,0
BG05,0.7,0.8,0.5,0.15,0.125,0
BG05,0.7,0.8,0.5,0.15,0.15,0
BG05,0.7,0.8,0.5,0.15,0.2,0
BG05,0.7,0.8,0.5,0.15,0.25,0
BG05,0.7,0.8,0.5,0.15,0.3,0
BG05,0.7,0.8,0.5,0.15,0.35,0
BG05,0.7,0.8,0.5,0.2,0.05,0
BG05,0.7,0.8,0.5,0.2,0.075,0
BG05,0.7,0.8,0.5,0.2,0.1,0
BG05,0.7,0.8,0.5,0.2,0.125,0
BG05,0.7,0.8,0.5,0.2,0.15,0
BG05,0.7,0.8,0.5,0.2,0.2,0
BG05,0.7,0.8,0.5,0.2,0.25,0
BG05,0.7,0.8,0.5,0.2,0.3,0
BG05,0.7,0.8,0.5,0.2,0.35,0
BG05,0.7,0.8,0.5,0.25,0.05,0
BG05,0.7,0.8,0.5,0.25,0.075,0
BG05,0.7,0.8,0.5,0.25,0.1,0
BG05,0.7,0.8,0.5,0.25,0.125,0
BG05,0.7,0.8,0.5,0.25,0.15,0
BG05,0.7,0.8,0.5,0.25,0.2,0
BG05,0.7,0.8,0.5,0.25,0.25,0
BG05,0.7,0.8,0.5,0.25,0.3,0
BG05,0.7,0.8,0.5,0.25,0.35,0
BG05,0.7,0.8,0.5,0.3,0.05,0
BG05,0.7,0.8,0.5,0.3,0.075,0
BG05,0.7,0.8,0.5,0.3,0.1,0
BG05,0.7,0.8,0.5,0.3,0.125,0
BG05,0.7,0.8,0.5,0.3,0.15,0
BG05,0.7,0.8,0.5,0.3,0.2,0
BG05,0.7,0.8,0.5,0.3,0.25,0
BG05,0.7,0.8,0.5,0.3,0.3,0
BG05,0.7,0.8,0.5,0.3,0.35,0
BG05,0.7,0.8,0.5,0.35,0.05,0
BG05,0.7,0.8,0.5,0.35,0.075,0
BG05,0.7,0.8,0.5,0.35,0.1,0
BG05,0.7,0.8,0.5,0.35,0.125,0
BG05,0.7,0.8,0.5,0.35,0.15,0
BG05,0.7,0.8,0.5,0.35,0.2,12
BG05,0.7,0.8,0.5,0.35,0.25,117
BG05,0.7,0.8,0.5,0.35,0.3,189
BG05,0.7,0.8,0.5,0.35,0.35,190
BG06,0.7,0.8,2.0,0.02,0.05,0
BG06,0.7,0.8,2.0,0.02,0.075,0
BG06,0.7,0.8,2.0,0.02,0.1,0
BG06,0.7,0.8,2.0,0.02,0.125,0
BG06,0.7,0.8,2.0,0.02,0.15,0
BG06,0.7,0.8,2.0,0.02,0.2,0
BG06,0.7,0.8,2.0,0.02,0.25,0
BG06,0.7,0.8,2.0,0.02,0.3,0
BG06,0.7,0.8,2.0,0.02,0.35,0
BG06,0.7,0.8,2.0,0.03,0.05,0
BG06,0.7,0.8,2.0,0.03,0.075,0
BG06,0.7,0.8,2.0,0.03,0.1,0
BG06,0.7,0.8,2.0,0.03,0.125,0
BG06,0.7,0.8,2.0,0.03,0.15,0
BG06,0.7,0.8,2.0,0.03,0.2,0
BG06,0.7,0.8,2.0,0.03,0.25,0
BG06,0.7,0.8,2.0,0.03,0.3,0
BG06,0.7,0.8,2.0,0.03,0.35,0
BG06,0.7,0.8,2.0,0.05,0.05,0
BG06,0.7,0.8,2.0,0.05,0.075,0
BG06,0.7,0.8,2.0,0.05,0.1,0
BG06,0.7,0.8,2.0,0.05,0.125,0
BG06,0.7,0.8,2.0,0.05,0.15,0
BG06,0.7,0.8,2.0,0.05,0.2,0
BG06,0.7,0.8,2.0,0.05,0.25,0
BG06,0.7,0.8,2.0,0.05,0.3,0
BG06,0.7,0.8,2.0,0.05,0.35,0
BG06,0.7,0.8,2.0,0.075,0.05,0
BG06,0.7,0.8,2.0,0.075,0.075,0
BG06,0.7,0.8,2.0,0.075,0.1,0
BG06,0.7,0.8,2.0,0.075,0.125,0
BG06,0.7,0.8,2.0,0.075,0.15,0
BG06,0.7,0.8,2.0,0.075,0.2,0
BG06,0.7,0.8,2.0,0.075,0.25,0
BG06,0.7,0.8,2.0,0.075,0.3,0
